ant1,count1,ant2,count2
separate,1,connected,8
mechanical,1,electrical,4
mechanical,1,electrical,4
lower,3,elevate,1
extraordinary,2,everyday,4
much,6,few,7
output,1,input,10
except,4,include,8
instrumental,5,vocal,53
pro,3,anti,1
cause,1,prevent,1
allow,9,prevent,1
permit,4,prevent,1
rapid,2,slow,1
immediate,2,slow,1
hot,15,slow,1
quick,25,slow,1
swift,2,slow,1
speed,2,slow,1
express,16,slow,1
mountain,7,valley,29
get,106,leave,10
night,3,day,31
undergraduate,13,graduate,10
citizen,7,subject,18
comprehensive,5,exclusive,13
valley,29,mountain,7
plain,6,mountain,7
break,3,repair,3
receiver,5,transmitter,37
national,24,local,25
systemic,1,local,25
general,90,local,25
worldwide,5,local,25
global,48,local,25
limited,11,local,25
express,16,local,25
express,16,local,25
simple,7,complex,2
premium,25,discount,2
miss,3,hit,1
miss,3,hit,1
western,5,eastern,4
sell,28,buy,26
sell,28,buy,26
mountain,7,plain,6
withdraw,5,progress,2
retire,1,progress,2
rise,7,set,44
previous,10,subsequent,3
former,3,subsequent,3
false,2,constant,2
dry,5,wet,3
patient,11,agent,26
fiction,11,fact,2
organic,2,functional,1
cosmetic,2,functional,1
bad,8,healthy,3
run,3,rise,7
run,3,rise,7
fall,2,rise,7
set,44,rise,7
decline,1,rise,7
man,3,beast,1
cooling,9,heating,48
high,35,low,13
last,15,low,13
advanced,30,low,13
alto,5,low,13
upper,7,low,13
call,22,put,1
contingent,2,certain,5
hide,6,show,47
pure,30,applied,2
pure,30,applied,2
asset,9,liability,1
sharp,2,pleasant,2
harsh,2,pleasant,2
fall,2,ascension,8
matter,3,form,34
general,90,particular,3
universal,2,particular,3
next,14,previous,10
black,5,legal,21
unlawful,1,legal,21
stop,5,preserve,1
melody,18,discord,3
decline,1,improvement,6
answer,3,inquiry,10
experienced,2,green,13
old,10,new,285
ancient,1,new,285
ancient,1,new,285
used,55,new,285
failure,2,success,13
closing,1,opening,2
final,4,opening,2
retail,6,wholesale,5
cool,5,heat,1
bad,8,superior,6
common,3,superior,6
view,398,controller,38
boy,13,girl,9
free,97,stick,4
move,11,stick,4
lay,1,back,159
lay,1,back,159
face,13,back,159
front,11,back,159
free,97,exact,3
round,2,exact,3
withdraw,5,lock,1
beast,1,man,3
woman,5,man,3
keep,13,allow,9
prohibit,1,allow,9
